customer_id,last_name,first_name,email,password,phone_number,address
C057,Vũ,Thanh Nam,vu.nam57@gmail.com,Abcxyz@123,0987654327,"58 Đường số 57, Quận 3, TP.HCM"
C058,Nguyễn,Minh Dũng,nguyen.dung58@gmail.com,Abcxyz@123,0987654328,"59 Đường số 58, Quận 4, TP.HCM"
C059,Lý,Thị Nam,ly.nam59@gmail.com,Abcxyz@123,0987654329,"60 Đường số 59, Quận 5, TP.HCM"
C060,Trương,Công Nam,truong.nam60@gmail.com,Abcxyz@123,0987654320,"61 Đường số 60, Quận 1, TP.HCM"
C061,Đỗ,Thành Phương,do.phuong61@gmail.com,Abcxyz@123,0987654321,"62 Đường số 61, Quận 2, TP.HCM"
C062,Mai,Thành Linh,mai.linh62@gmail.com,Abcxyz@123,0987654322,"63 Đường số 62, Quận 3, TP.HCM"
C063,Mai,Công An,mai.an63@gmail.com,Abcxyz@123,0987654323,"64 Đường số 63, Quận 4, TP.HCM"
C064,Huỳnh,Minh An,huynh.an64@gmail.com,Abcxyz@123,0987654324,"65 Đường số 64, Quận 5, TP.HCM"
C065,Đinh,Hữu Nam,dinh.nam65@gmail.com,Abcxyz@123,0987654325,"66 Đường số 65, Quận 1, TP.HCM"
C066,Dương,Hữu Hương,duong.huong66@gmail.com,Abcxyz@123,0987654326,"67 Đường số 66, Quận 2, TP.HCM"
C067,Phan,Kim Hương,phan.huong67@gmail.com,Abcxyz@123,0987654327,"68 Đường số 67, Quận 3, TP.HCM"
C068,Đỗ,Thanh Giang,do.giang68@gmail.com,Abcxyz@123,0987654328,"69 Đường số 68, Quận 4, TP.HCM"
C069,Hoàng,Hữu Dũng,hoang.dung69@gmail.com,Abcxyz@123,0987654329,"70 Đường số 69, Quận 5, TP.HCM"
C070,Võ,Văn Linh,vo.linh70@gmail.com,Abcxyz@123,0987654320,"71 Đường số 70, Quận 1, TP.HCM"
C071,Đào,Thành An,dao.an71@gmail.com,Abcxyz@123,0987654321,"72 Đường số 71, Quận 2, TP.HCM"
C072,Lê,Kim Chi,le.chi72@gmail.com,Abcxyz@123,0987654322,"73 Đường số 72, Quận 3, TP.HCM"
C073,Phan,Thanh Bình,phan.binh73@gmail.com,Abcxyz@123,0987654323,"74 Đường số 73, Quận 4, TP.HCM"
C074,Đỗ,Thành Linh,do.linh74@gmail.com,Abcxyz@123,0987654324,"75 Đường số 74, Quận 5, TP.HCM"
C075,Vũ,Thị Giang,vu.giang75@gmail.com,Abcxyz@123,0987654325,"76 Đường số 75, Quận 1, TP.HCM"
C076,Lý,Ngọc Phương,ly.phuong76@gmail.com,Abcxyz@123,0987654326,"77 Đường số 76, Quận 2, TP.HCM"
C077,Lý,Công An,ly.an77@gmail.com,Abcxyz@123,0987654327,"78 Đường số 77, Quận 3, TP.HCM"
C078,Phan,Văn Chi,phan.chi78@gmail.com,Abcxyz@123,0987654328,"79 Đường số 78, Quận 4, TP.HCM"
C079,Trần,Minh Phương,tran.phuong79@gmail.com,Abcxyz@123,0987654329,"80 Đường số 79, Quận 5, TP.HCM"
C080,Trần,Hữu Giang,tran.giang80@gmail.com,Abcxyz@123,0987654320,"81 Đường số 80, Quận 1, TP.HCM"
C081,Ngô,Thị Giang,ngo.giang81@gmail.com,Abcxyz@123,0987654321,"82 Đường số 81, Quận 2, TP.HCM"
C082,Lê,Công Giang,le.giang82@gmail.com,Abcxyz@123,0987654322,"83 Đường số 82, Quận 3, TP.HCM"
C083,Bùi,Thị Chi,bui.chi83@gmail.com,Abcxyz@123,0987654323,"84 Đường số 83, Quận 4, TP.HCM"
C084,Hồ,Ngọc Bình,ho.binh84@gmail.com,Abcxyz@123,0987654324,"85 Đường số 84, Quận 5, TP.HCM"
C085,Đặng,Hữu Dũng,dang.dung85@gmail.com,Abcxyz@123,0987654325,"86 Đường số 85, Quận 1, TP.HCM"
C086,Hoàng,Đức Khánh,hoang.khanh86@gmail.com,Abcxyz@123,0987654326,"87 Đường số 86, Quận 2, TP.HCM"
C087,Võ,Thanh Khánh,vo.khanh87@gmail.com,Abcxyz@123,0987654327,"88 Đường số 87, Quận 3, TP.HCM"
C088,Phan,Kim Bình,phan.binh88@gmail.com,Abcxyz@123,0987654328,"89 Đường số 88, Quận 4, TP.HCM"
C089,Vũ,Thị Dũng,vu.dung89@gmail.com,Abcxyz@123,0987654329,"90 Đường số 89, Quận 5, TP.HCM"
C090,Đào,Công Khánh,dao.khanh90@gmail.com,Abcxyz@123,0987654320,"91 Đường số 90, Quận 1, TP.HCM"
C091,Hồ,Minh An,ho.an91@gmail.com,Abcxyz@123,0987654321,"92 Đường số 91, Quận 2, TP.HCM"
C092,Mai,Kim Nam,mai.nam92@gmail.com,Abcxyz@123,0987654322,"93 Đường số 92, Quận 3, TP.HCM"
C093,Phan,Ngọc Hương,phan.huong93@gmail.com,Abcxyz@123,0987654323,"94 Đường số 93, Quận 4, TP.HCM"
C094,Dương,Đức Nam,duong.nam94@gmail.com,Abcxyz@123,0987654324,"95 Đường số 94, Quận 5, TP.HCM"
C095,Trần,Thị Khánh,tran.khanh95@gmail.com,Abcxyz@123,0987654325,"96 Đường số 95, Quận 1, TP.HCM"
C096,Lê,Hữu An,le.an96@gmail.com,Abcxyz@123,0987654326,"97 Đường số 96, Quận 2, TP.HCM"
C097,Dương,Kim Nam,duong.nam97@gmail.com,Abcxyz@123,0987654327,"98 Đường số 97, Quận 3, TP.HCM"
C098,Trần,Thị Khánh,tran.khanh98@gmail.com,Abcxyz@123,0987654328,"99 Đường số 98, Quận 4, TP.HCM"
C099,Phan,Thanh Nam,phan.nam99@gmail.com,Abcxyz@123,0987654329,"100 Đường số 99, Quận 5, TP.HCM"
C100,Đinh,Đức Hương,dinh.huong100@gmail.com,Abcxyz@123,0987654320,"101 Đường số 100, Quận 1, TP.HCM"
